id,type,categ_id/display_name,qty_available,uom_id/display_name,default_code,name,standard_price,list_price,available_in_pos,,,
__export__.product_template_1422_f816cfb0,Producto almacenable,COMIDA,2,UNIDAD,PLC1223,AJI DE GALLINA,7,10,FALSO,,,
__export__.product_template_525_a21e1e42,Producto almacenable,POSTRES,0,UNIDAD,PLC1126,ALFAJOR,2,3,VERDADERO,,,
__export__.product_template_1989_0bea11d9,Producto almacenable,COMIDA,1,UNIDAD,PLC1497,ALITA BROSTER,5,8,FALSO,,,
__export__.product_template_1434_8db3e8aa,Producto almacenable,COMIDA,6,UNIDAD,PLC1235,ALITAS BROASTER,7,10,FALSO,,,
__export__.product_template_1990_b4e19805,Producto almacenable,COMIDA,1,UNIDAD,PLC1498,ALVERJITA PARTIDA,7,8,VERDADERO,,,
__export__.product_template_1425_62b6c223,Producto almacenable,COMIDA,0,UNIDAD,PLC1226,ALVERJITA PARTIDA CON CHULETA,5,10,FALSO,,,
__export__.product_template_1491_823caaee,Producto almacenable,SANDWICHES,0,UNIDAD,PLC1292,AREPA CON HUEVO Y HOT DOG,0,1,FALSO,,,
__export__.product_template_1490_ba0455b2,Producto almacenable,SANDWICHES,0,UNIDAD,PLC1291,AREPA CON JAMON Y QUESO,0,1,FALSO,,,
__export__.product_template_1493_af26ef88,Producto almacenable,SANDWICHES,0,UNIDAD,PLC1294,AREPA CON PALTA Y ATUN,0,5,FALSO,,,
__export__.product_template_1492_f9285349,Producto almacenable,SANDWICHES,0,UNIDAD,PLC1293,AREPA CON POLLO DESHILACHADO,0.6,1,FALSO,,,
__export__.product_template_1489_d4e48869,Producto almacenable,SANDWICHES,0,UNIDAD,PLC1290,AREPA CON QUESO,0,1,FALSO,,,
__export__.product_template_1941_b8366f24,Producto almacenable,SANDWICHES,0,UNIDAD,PLC1457,AREPAS CON ATUN Y PALTA,5,7,FALSO,,,
__export__.product_template_1423_70b1e996,Producto almacenable,COMIDA,1,UNIDAD,PLC1224,ARROZ A LA CUBANA,0.5,10,VERDADERO,,,
__export__.product_template_1904_b9712968,Producto almacenable,COMIDA,0,UNIDAD,PLC1438,ARROZ A LA JARDINERA ,7,10,VERDADERO,,,
__export__.product_template_1424_863d4f67,Producto almacenable,COMIDA,0,UNIDAD,PLC1225,ARROZ CHAUFA CON POLLO,7,10,FALSO,,,
__export__.product_template_1982_31e3ee36,Producto almacenable,COMIDA,0,UNIDAD,PLC1491,ARROZ CHAUFA DE CARNE,7,8,FALSO,,,
__export__.product_template_1426_8ce3f5e0,Producto almacenable,COMIDA,0,UNIDAD,PLC1227,ARROZ CON ALVERJITA PARTIDA Y PESCADO,7,8,FALSO,,,
__export__.product_template_1427_64515458,Producto almacenable,COMIDA,0,UNIDAD,PLC1228,ARROZ CON ALVERJITA PARTIDA Y POLLO,1,10,FALSO,,,
__export__.product_template_1914_c4c3dadc,Producto almacenable,COMIDA,8,UNIDAD,PLC1442,ARROZ CON CHANCHO,7,8,FALSO,,,
__export__.product_template_1428_189c8e82,Producto almacenable,COMIDA,0,UNIDAD,PLC1229,ARROZ CON ENSALADA RUSA Y POLLO,1.2,3,FALSO,,,
__export__.product_template_1429_12671918,Producto almacenable,COMIDA,0,UNIDAD,PLC1230,ARROZ CON FREJOL Y PESCADO,7,8,FALSO,,,
__export__.product_template_2114_aa0194a7,Producto almacenable,OTROS,0,UNIDAD,,ARROZ CON LECHE,1,2,FALSO,,,
__export__.product_template_2117_0c2a2518,Producto almacenable,OTROS,0,UNIDAD,,ARROZ CON LECHE GRANDE,2,4,VERDADERO,,,
__export__.product_template_1433_b47594fe,Producto almacenable,COMIDA,3,UNIDAD,PLC1234,ARROZ CON LENTEJAS Y PESCADO,7,8,FALSO,,,
__export__.product_template_1435_fde88bc8,Producto almacenable,COMIDA,0,UNIDAD,PLC1236,ARROZ CON PALLARES Y POLLO,0,1,FALSO,,,
__export__.product_template_1436_c2a6336c,Producto almacenable,COMIDA,0,UNIDAD,PLC1237,ARROZ CON POLLO,10,10,VERDADERO,,,
__export__.product_template_2282_852304b7,Producto almacenable,COMIDA,0,UNIDAD,PLC2025,ARROZ CON POLLO AL AJONJOLI,5,10,VERDADERO,,,
__export__.product_template_1459_bf37e33b,Producto almacenable,COMIDA,0,UNIDAD,PLC1260,ARROZ CON QUINUA,0,1,FALSO,,,
__export__.product_template_1902_249599c6,Producto almacenable,COMIDA,0,UNIDAD,PLC1436,ARROZ TAPADO ,7,10,FALSO,,,
__export__.product_template_1928_5a8a0ec8,Producto almacenable,COMIDA,0,UNIDAD,PLC1449,ARVERJITA PARTIDA CON LOMO,7,8,FALSO,,,
__export__.product_template_449_41202a8d,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1049,BARQUILLA PIAZZA X 12.3 GR CHOCOLATE,0.2,1,FALSO,,,
__export__.product_template_2096_245c33ed,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1587,BARRA EXTRUIDA RELLENA CON CREMA COSTA X 19 GR CAÑONAZO,0.5,1.5,VERDADERO,,,
__export__.product_template_1787_82f10c61,Producto almacenable,CONFITERIA,1,UNIDAD,PLC1383,BARRA EXTRUIDA RELLENA CON CREMA COSTA X 39 GR CAÑONAZO EXTRA,0.91,2,VERDADERO,,,
__export__.product_template_1805_f89d25ec,Producto almacenable,BEBIDA ENVASADA,3,UNIDAD,PLC1353,BEBIDA CON JUGO FRUGOS FRESH X 500 ML GRANADILLA,1.7,2,VERDADERO,,,
__export__.product_template_2111_b9811600,Producto almacenable,BEBIDA ENVASADA,6,UNIDAD,PLC1618,BEBIDA CON JUGO FRUGOS FRESH X 500 ML MANZANA. ,0,2.2,VERDADERO,,,
__export__.product_template_1525_7540a6f3,Producto almacenable,BEBIDA ENVASADA,2,UNIDAD,PLC1352,BEBIDA CON JUGO FRUGOS FRESH X 500 ML NARANJA,1.7,2,VERDADERO,,,
__export__.product_template_2013_c0f96936,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1518,BEBIDA CON JUGO FRUGOS FRESH X 500 ML TROPICAL PUNCH,2,2.2,FALSO,,,
__export__.product_template_2198_9e205d5f,Producto almacenable,BEBIDA FRIA,0,UNIDAD,PLC1616,BEBIDA DE CAFE CON LECHE HELADO X 10 OZ FRAPPE,5,9,VERDADERO,,,
__export__.product_template_2139_b6fa3b4a,Consumible,BEBIDA CALIENTE,0,UNIDAD,PLC1597,BEBIDA DE CAFE CON LECHE X 200 ML CAPUCHINO,1.2,6,VERDADERO,,,
__export__.product_template_415_5dcd4a99,Consumible,BEBIDA CALIENTE,0,UNIDAD,PLC1015,BEBIDA DE CAFE X 08 OZ AMERICANO,0.84,3,VERDADERO,,,
__export__.product_template_2232_bbaf976d,Consumible,All,0,UNIDAD,ADM,BEBIDA DE DURAZNO GLORIA CAJA 1LT,0,1,FALSO,,,
PROD2X_0022_product_template,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1331,BEBIDA DE FRUTA FRUGOS X 235 ML DURAZNO,1.37,2,VERDADERO,,,
__export__.product_template_1522_fb95dbce,Producto almacenable,BEBIDA ENVASADA,1,UNIDAD,PLC1330,BEBIDA DE FRUTA FRUGOS X 235 ML MANGO,1.37,2,VERDADERO,,,
__export__.product_template_439_d222db83,Producto almacenable,BEBIDA ENVASADA,1,UNIDAD,PLC1039,BEBIDA DE FRUTA FRUGOS X 235 ML MANZANA,1.37,2,VERDADERO,,,
__export__.product_template_441_0b89943b,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1041,BEBIDA DE FRUTA FRUGOS X 235 ML NARANJA,1.37,2,VERDADERO,,,
__export__.product_template_434_91f3f71a,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1034,BEBIDA DE NARANJA TAMPICO X 500 ML CITRUS PUNCH,1.43,2.2,VERDADERO,,,
__export__.product_template_2108_7acc4a0a,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,,BEBIDA DE TE VERDE FREE TEA X 450 ML LIMON,1.79,3,VERDADERO,,,
__export__.product_template_2370_691112da,Producto almacenable,BEBIDA ENVASADA,7,UNIDAD,,BEBIDA ENERGIZANTE GATORADE X 500 ML MANDARINA ,0,3.6,VERDADERO,,,
__export__.product_template_408_da7ce798,Producto almacenable,BEBIDA ENVASADA,13,UNIDAD,PLC1008,BEBIDA ENERGIZANTE GATORADE X 500 ML TROPICAL FRUIT,2,3.6,VERDADERO,,,
__export__.product_template_410_63c30d2d,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1010,BEBIDA ENERGIZANTE VOLT X 300 ML GINSENG,2,3,VERDADERO,,,
__export__.product_template_425_61cf16c1,Producto almacenable,BEBIDA ENVASADA,6,UNIDAD,PLC1025,BEBIDA GASIFICADA COCA COLA X 600 ML,2.7,3.5,VERDADERO,,,
__export__.product_template_1534_14888ac9,Producto almacenable,BEBIDA ENVASADA,18,UNIDAD,PLC1322,BEBIDA GASIFICADA FANTA KOLA INGLESA X 500 ML FRESA,2.2,2.7,VERDADERO,,,
__export__.product_template_1536_b0cb318e,Producto almacenable,BEBIDA ENVASADA,28,UNIDAD,PLC1321,BEBIDA GASIFICADA FANTA X 500 ML NARANJA,2.2,2.7,VERDADERO,,,
__export__.product_template_1693_0107974e,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1325,BEBIDA GASIFICADA GUARANA X 450 ML ORIGINAL,2,2.7,VERDADERO,,,
__export__.product_template_2368_7ca7544f,Producto almacenable,BEBIDA ENVASADA,11,UNIDAD,PLC1604,BEBIDA GASIFICADA GUARANITA X 300 ML ORIGINAL,0,1.9,VERDADERO,,,
__export__.product_template_1532_8b1e679e,Producto almacenable,BEBIDA ENVASADA,47,UNIDAD,PLC1323,BEBIDA GASIFICADA INCA KOLA X 600 ML,2.7,3.5,VERDADERO,,,
__export__.product_template_2343_768250c1,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,,BEBIDA GASIFICADA PEPSI X 750 ML,2.6,4.5,VERDADERO,,,
__export__.product_template_427_e4aec8b0,Producto almacenable,BEBIDA ENVASADA,7,UNIDAD,PLC1026,BEBIDA GASIFICADA SIN CALORIAS COCA COLA X 500 ML ZERO AZUCAR,2.2,3.7,VERDADERO,,,
PROD2X_0024_product_template,Producto almacenable,BEBIDA ENVASADA,6,UNIDAD,PLC1324,BEBIDA GASIFICADA SPRITE X 500 ML LIMA LIMON,2.2,2.7,VERDADERO,,,
__export__.product_template_1951_9563934b,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1462,BEBIDA POWER X 473ML,2,3.5,FALSO,,,
__export__.product_template_2110_31efca44,Producto almacenable,POSTRES,0,UNIDAD,,BESO DE MOZA,0.89,2,FALSO,,,
__export__.product_template_2131_081b2909,Producto almacenable,CONFITERIA,0,UNIDAD,,BIZCOCHO RELLENO COSTA X 53 GR CHOCMAN DOBLE MANJAR,1,2,VERDADERO,,,
__export__.product_template_1728_04754eea,Consumible,SNACK,0,UNIDAD,PLC1678,BOCADILLO A BASE DE PAPA PRINGLES X 37 GR ORIGINAL,2.5,3,FALSO,,,
__export__.product_template_1930_a5859954,Consumible,All,0,UNIDAD,ADM,BOCADITOS DULCES,0,1,FALSO,,,
__export__.product_template_1931_e8c98479,Consumible,All,0,UNIDAD,ADM,BOCADITOS SALADOS,0,1,FALSO,,,
__export__.product_template_1903_fc8f8e19,Producto almacenable,COMIDA,0,UNIDAD,PLC1437,BOLITA DE PAPA,4,5,FALSO,,,
__export__.product_template_2118_30c3d7f6,Consumible,All,0,UNIDAD,,BOLSA DE CHUPETINES x 24 UND,0,0,VERDADERO,,,
__export__.product_template_2119_11879b8f,Consumible,All,0,UNIDAD,,BOLSA DE OLE OLE X 50 UND,0,1,VERDADERO,,,
__export__.product_template_2064_b38c74ec,Producto almacenable,GENÉRICO,30,UNIDAD,PLC1569,BOLSAS DE FRESA,1,1,VERDADERO,,,
__export__.product_template_1912_5c7590ad,Producto almacenable,JUGOS,12,UNIDAD,PLC1440,BOLSAS DE MANGO,1,1.5,VERDADERO,,,
__export__.product_template_1488_2e6a0ca0,Producto almacenable,GENÉRICO,0,UNIDAD,PLC1289,BOLSAS DE MELÓN,3.55,6.5,VERDADERO,,,
__export__.product_template_1487_b2c2c684,Producto almacenable,JUGOS,38,UNIDAD,PLC1288,BOLSAS DE PAPAYA,3.38,6.5,VERDADERO,,,
__export__.product_template_2203_036ee81a,Producto almacenable,JUGOS,45,UNIDAD,PLC1600,BOLSAS DE PIÑA,1,1.5,VERDADERO,,,
__export__.product_template_1937_f7ae14d0,Producto almacenable,OTROS,3565,UNIDAD,PLC1453,BOTELLAS PARA REFRESCO,0.5,1,VERDADERO,,,
__export__.product_template_2185_79b63e3c,Consumible,All,0,UNIDAD,,BOX NAVIDEÑO SURTIDO,0,0,FALSO,,,
__export__.product_template_2345_4f0931fc,Consumible,All,0,UNIDAD,ADM,BOX RELAX,0,0,FALSO,,,
__export__.product_template_2380_08ce433b,Consumible,All,0,UNIDAD,ADM,BOXES CERVECEROS,0,0,FALSO,,,
__export__.product_template_2247_216dd47f,Consumible,All,0,UNIDAD,ADM,BOXES PARA DIA DE LA MADRE,0,0,FALSO,,,
__export__.product_template_2226_3450f299,Consumible,All,0,UNIDAD,ADM,BOXES REGALO PARA DIA DEL TRABAJADOR,0,0,FALSO,,,
__export__.product_template_2289_7f1a6e74,Consumible,MENUCORP(MILLA),0,UNIDAD,,BROASTER (CORPOR. MILLA),0,14,VERDADERO,,,
__export__.product_template_526_255cbe53,Producto almacenable,POSTRES,0,UNIDAD,PLC1127,BROWNIE DE CHOCOLATE,0,1,VERDADERO,,,
__export__.product_template_2094_de13fd5f,Producto almacenable,SNACK,0,UNIDAD,PLC1581,BUCKY CAMOTE CHIPS X 30GR,0.92,1.5,FALSO,,,
__export__.product_template_2091_147a5f8e,Producto almacenable,SNACK,0,UNIDAD,PLC1580,BUCKY NACHOS X 28GR,0.92,1.5,FALSO,,,
__export__.product_template_2092_a447af61,Producto almacenable,SNACK,0,UNIDAD,PLC1579,BUCKY TOTOPOS X 50GR,0.92,1.5,FALSO,,,
__export__.product_template_527_e43e55e0,Producto almacenable,POSTRES,0,UNIDAD,PLC1128,BUDIN DE PAN,2,3,VERDADERO,,,
__export__.product_template_1407_75cab3cf,Consumible,OTROS,0,UNIDAD,PLC1207,BUFFET DESAYUNO CORPORATIVO,0,0,FALSO,,,
__export__.product_template_1402_a7ea60a2,Consumible,BEBIDACORP(3ERIZA),0,UNIDAD,PLC1203,CAFE (CORPOR. 3ERIZA),0.01,1.5,FALSO,,,
__export__.product_template_1875_444455b1,Consumible,BEBIDACORP(MILLA),0,UNIDAD,PLC1409,CAFE (CORPOR. MILLA),2,3,VERDADERO,,,
__export__.product_template_1906_1ce5f143,Consumible,All,0,UNIDAD,ADM,CAFE 84 GOURMET,0,0,FALSO,,,
__export__.product_template_1907_30928ad6,Consumible,All,0,UNIDAD,ADM,CAFE 85 GOURMET,0,0,FALSO,,,
__export__.product_template_1908_0dbb9e9b,Consumible,All,0,UNIDAD,ADM,CAFE 88 HUAYACHO,0,0,FALSO,,,
__export__.product_template_2075_ed265e65,Consumible,All,0,UNIDAD,ADM,CAFE ALTOMAYO GOURMET,0,0,FALSO,,,
__export__.product_template_414_d12efbbe,Consumible,BEBIDA CALIENTE,0,UNIDAD,PLC1014,CAFE CON LECHE X 10 OZ,2.11,4,VERDADERO,,,
__export__.product_template_1909_e3c8e4d7,Consumible,All,0,UNIDAD,ADM,CAFE DEL VRAEM ORGANICO,0,0,FALSO,,,
__export__.product_template_1792_a3e2e94c,Consumible,All,0,UNIDAD,ADM,CAFE HUAYACHO,0,38,FALSO,,,
__export__.product_template_1793_ec33ab38,Consumible,All,0,UNIDAD,ADM,CAFE PICHICO,0,24,FALSO,,,
__export__.product_template_1794_ff8d9068,Consumible,All,0,UNIDAD,ADM,CAFE TITI,0,26,FALSO,,,
__export__.product_template_1795_ccd8d93f,Consumible,All,0,UNIDAD,ADM,CAFE TOCON,0,28,FALSO,,,
__export__.product_template_2145_5b57d596,Consumible,BEBIDA CALIENTE,0,UNIDAD,,CAFE X 04 OZ AMERICANO (MAQUINA),3,5,VERDADERO,,,
__export__.product_template_416_652f4e7e,Producto almacenable,BEBIDA CALIENTE,0,UNIDAD,PLC1016,CAFE X 10 OZ INSTANTANEO,0.84,2.5,FALSO,,,
__export__.product_template_1825_db50079f,Consumible,All,0,UNIDAD,,CAFE X 250 GR DEL VRAEM,0,33,VERDADERO,,,
__export__.product_template_1824_a4a8b954,Consumible,All,0,UNIDAD,,CAFE X250 GR DE RODRIGUEZ DE MENDOZA,0,30,VERDADERO,,,
__export__.product_template_2073_fbbad85c,Consumible,All,0,UNIDAD,,CANASTA NAVIDEÑA,0,0,VERDADERO,,,
__export__.product_template_2355_caf1d69a,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1602,CANASTAS RELLENAS DE MANZANA,3,3.5,VERDADERO,,,
__export__.product_template_453_54d4e696,Producto almacenable,CONFITERIA,18,UNIDAD,PLC1053,CARAMELO HALLS X 25.2 GR AZUL,1.19,1.9,VERDADERO,,,
__export__.product_template_451_38e96c6c,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1051,CARAMELO HALLS X 25.2 GR CEREZA ROJO,1.1,1.9,VERDADERO,,,
__export__.product_template_452_eddf6310,Producto almacenable,CONFITERIA,4,UNIDAD,PLC1052,CARAMELO HALLS X 25.2 GR FRUTILLA,1.2,1.9,VERDADERO,,,
__export__.product_template_1968_ad97d4d0,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1476,CARAMELO HALLS X 25.2 GR MORADO,1.2,1.9,VERDADERO,,,
__export__.product_template_454_e0246611,Producto almacenable,CONFITERIA,11,UNIDAD,PLC1054,CARAMELO HALLS X 25.2 GR NEGRO,1.2,1.9,VERDADERO,,,
__export__.product_template_1785_0470534f,Producto almacenable,CONFITERIA,10,UNIDAD,PLC1519,CARAMELO HALLS X 25.2 GR VERDE,1.2,1.9,VERDADERO,,,
__export__.product_template_455_37923290,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1055,CARAMELO HALLS X 25.3 GR CEREZA LIPTUS,0.62,2.3,FALSO,,,
__export__.product_template_2123_c39f6cc7,Consumible,All,0,UNIDAD,,CARAMELOS SURTIDOS X 100 UND,0,0,VERDADERO,,,
__export__.product_template_1437_34e899e2,Producto almacenable,COMIDA,0,UNIDAD,PLC1238,CARAPULCRA DE POLLO,7,10,FALSO,,,
__export__.product_template_2301_7290409a,Consumible,COMIDA,0,UNIDAD,,CARNE MOLIDA EXTRA,0,5,VERDADERO,,,
__export__.product_template_1841_02cbfb26,Producto almacenable,GENÉRICO,17,UNIDAD,BASE,CARNE MOLIDA PARA HAMBURGUESA,1.5,5,VERDADERO,,,
__export__.product_template_1993_cc6c08f4,Producto almacenable,COMIDA,2,UNIDAD,PLC1501,CAU CAU DE MONDONGO,7,10,FALSO,,,
__export__.product_template_1438_d174da88,Producto almacenable,COMIDA,5,UNIDAD,PLC1239,CAU CAU DE POLLO,1,1,FALSO,,,
__export__.product_template_1409_b5b6db6d,Producto almacenable,COMIDA,10,UNIDAD,PLC1210,CAUSA DE ATUN,2.5,6,FALSO,,,
__export__.product_template_417_9519d28d,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1017,CERVEZA PILSEN X 310 ML,3.04,1,FALSO,,,
__export__.product_template_1539_144c8dd3,Producto almacenable,BEBIDA ENVASADA,20,UNIDAD,PLC1317,CERVEZA PILSEN X 355 ML EN LATA,3.6,6,VERDADERO,,,
__export__.product_template_1831_2be2d37d,Producto almacenable,BEBIDA ENVASADA,0,UNIDAD,PLC1368,CERVEZA TRES CRUCES X 355ML,0,5,FALSO,,,
__export__.product_template_1410_07f25815,Producto almacenable,COMIDA,7,UNIDAD,PLC1211,CEVICHE DE POLLO,0.5,1,FALSO,,,
__export__.product_template_1924_7c17886f,Producto almacenable,COMIDA,0,UNIDAD,PLC1447,CHAUFA DE POLLO,7,8,FALSO,,,
__export__.product_template_1695_f36f827d,Producto almacenable,POSTRES,0,UNIDAD,,CHEESCAKE MANJAR BLANCO,4.8,6,VERDADERO,,,
__export__.product_template_2348_2858b01f,Producto almacenable,SNACK,0,UNIDAD,PLC1606,CHEESE QUESO PICANTE BUCKY X 50 GR,0.99,1.5,VERDADERO,,,
__export__.product_template_1697_77cc4404,Producto almacenable,POSTRES,0,UNIDAD,,CHEESECAKE DE CAFE,4,6,VERDADERO,,,
__export__.product_template_1689_050fca0b,Producto almacenable,POSTRES,0,UNIDAD,,CHEESECAKE DE FRESA,4,6,VERDADERO,,,
PROD2X_0030_product_template,Producto almacenable,POSTRES,0,UNIDAD,,CHEESECAKE DE MARACUYA,3.9,6,VERDADERO,,,
__export__.product_template_1513_eda1630e,Producto almacenable,POSTRES,0,UNIDAD,,CHEESECAKE DE OREO,4.8,6,VERDADERO,,,
__export__.product_template_418_e534d4a6,Producto almacenable,BEBIDA FRIA,0,UNIDAD,PLC1018,CHICHA MORADA X 1 LT EN JARRA,0,3,VERDADERO,,,
__export__.product_template_419_145c7951,Consumible,BEBIDA FRIA,0,UNIDAD,PLC1019,CHICHA MORADA X 10 OZ,0,1,VERDADERO,,,
__export__.product_template_1411_63b09e65,Producto almacenable,COMIDA,0,UNIDAD,PLC1212,CHICHARRON DE PESCADO,0,1,FALSO,,,
__export__.product_template_1808_edb9e275,Producto almacenable,POSTRES,0,UNIDAD,PLC1603,CHIFFON DE VAINILLA,2.5,3.5,VERDADERO,,,
__export__.product_template_2175_55ac44af,Producto almacenable,SNACK,0,UNIDAD,,CHIFLES BUCKY 30G,1,2,FALSO,,,
__export__.product_template_1686_2dd436f8,Producto almacenable,SNACK,9,UNIDAD,PLC1433,CHIFLES KARINTO X 34 GR,0.99,2,VERDADERO,,,
__export__.product_template_1822_a46c7aff,Consumible,All,0,UNIDAD,,CHIFLES PIURANOS,0,15,VERDADERO,,,
__export__.product_template_1799_939994c4,Consumible,All,0,UNIDAD,,CHIFLES PIURANOS DULCES,0,0,VERDADERO,,,
__export__.product_template_1897_daa4896b,Producto almacenable,COMIDA,0,UNIDAD,PLC1431,CHILCANO DE PESCADO,1,5,FALSO,,,
__export__.product_template_1726_52bb6971,Consumible,BEBIDA CALIENTE,0,UNIDAD,PLC1603,CHOCOLATE CALIENTE,2.2,3.5,VERDADERO,,,
__export__.product_template_1521_513c3fe6,Producto almacenable,CHOCOLATE,19,UNIDAD,PLC1604,CHOCOLATE CON LECHE DONOFRIO X 30 GR TRIANGULO,1.72,2.7,VERDADERO,,,
__export__.product_template_458_b724b05c,Producto almacenable,CHOCOLATE,12,UNIDAD,PLC1058,CHOCOLATE PRINCESA CON RELLENO MANI X 30 GR,2.54,2.8,VERDADERO,,,
__export__.product_template_1806_df6e4460,Producto almacenable,CHOCOLATE,0,UNIDAD,PLC1401,CHOCOLATE PRINCESA X 30 GR FRESA,2.5,3,VERDADERO,,,
__export__.product_template_2263_21896c32,Producto almacenable,CHOCOLATE,34,UNIDAD,PLC1606,CHOCOLATE RELLENO CON MANJAR COSTA X 19 GR MECANO ,0.6,1.6,VERDADERO,,,
__export__.product_template_2151_4c1085f8,Producto almacenable,CHOCOLATE,0,UNIDAD,PLC1608,CHOCOLATE SUBLIME GALLETA X 28 GR,2,2.5,VERDADERO,,,
__export__.product_template_456_217a8d3f,Producto almacenable,CHOCOLATE,17,UNIDAD,PLC1056,CHOCOLATE SUBLIME X 30 GR CLASICO,1.43,2.5,VERDADERO,,,
__export__.product_template_457_c51e4280,Producto almacenable,CHOCOLATE,14,UNIDAD,PLC1057,CHOCOLATE SUBLIME X 50 GR EXTREMO,4,6,VERDADERO,,,
__export__.product_template_1543_e0f4d6e2,Producto almacenable,CHOCOLATE,19,UNIDAD,PLC1378,CHOCOLATE SUBLIME X 50GR CON ALMENDRAS ,3.73,5.5,VERDADERO,,,
__export__.product_template_2381_bea1a02c,Producto almacenable,POSTRES,0,UNIDAD,,CHOCOTEJA MINI  ,-0.35,1.5,VERDADERO,,,
__export__.product_template_2279_8b79bb17,Producto almacenable,POSTRES,0,UNIDAD,,CHOCOTEJAS SURTIDO,1,2,VERDADERO,,,
__export__.product_template_2291_52392c61,Consumible,MENUCORP(MILLA),0,UNIDAD,,CHULETA (CORPOR. MILLA) ,0,14,VERDADERO,,,
__export__.product_template_1992_acfe34e6,Producto almacenable,COMIDA,0,UNIDAD,PLC1500,CHULETA CON PAPAS,7,10,VERDADERO,,,
__export__.product_template_1981_bddc6d13,Producto almacenable,COMIDA,0,UNIDAD,PLC1490,CHUPE DE PESCADO,7,10,FALSO,,,
__export__.product_template_460_d2f498d3,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1060,CHUPETE BON BON BUM X 19 GR SURTIDOS,0.25,1,FALSO,,,
__export__.product_template_462_199573b3,Producto almacenable,CONFITERIA,0,UNIDAD,PLC1062,CHUPETE GLOBO POP X 19 GR YOGURT FRESA,0.5,1,FALSO,,,
__export__.product_template_461_c83c53df,Producto almacenable,CONFITERIA,65,UNIDAD,PLC1061,CHUPETIN GLOBO POP X 19 GR SURTIDO,0.43,1,VERDADERO,,,
__export__.product_template_1781_573b317a,Producto almacenable,POSTRES,0,UNIDAD,PLC1610,COCADA,1.5,2,VERDADERO,,,
__export__.product_template_1723_ca993352,Consumible,All,0,UNIDAD,,COMBO CAFE + 2 PETIT PAN CON POLLO,0,1,VERDADERO,,,
